sys_util,period,processors,task_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.4,uni-short,1,uni-heavy,0.34097421203438394,0.29512893982808025,0.29512893982808025,0.29512893982808025
1.0,uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.1,log-uni-short,1,exp-heavy,0.2703583061889251,0.26710097719869735,0.26710097719869735,0.26710097719869735
0.6,uni-moderate,1,uni-medium,0.6253443526170798,0.6253443526170797,0.6253443526170797,0.6253443526170797
0.6,log-uni-long,1,exp-medium,1.0,1.0,1.0,1.0
1.0,uni-moderate,1,bimo-heavy,0.0,0.0,0.0,0.0
0.4,log-uni-long,1,bimo-medium,1.0,1.0,1.0,1.0
0.4,uni-short,1,bimo-heavy,0.27652733118971085,0.2282958199356913,0.2282958199356913,0.2282958199356913
0.7000000000000001,uni-long,1,bimo-heavy,0.98,0.99,1.0,1.0
0.6,log-uni-short,1,exp-medium,0.0,0.0,0.0,0.0
0.4,log-uni-long,1,bimo-heavy,1.0,1.0,1.0,1.0
0.1,uni-short,1,exp-heavy,0.47150259067357503,0.46891191709844543,0.46891191709844543,0.46891191709844543
0.1,log-uni-moderate,1,uni-medium,0.7749077490774908,0.7749077490774908,0.7749077490774908,0.7749077490774908
0.6,log-uni-long,1,uni-heavy,0.99,1.0,1.0,1.0
0.2,log-uni-short,1,exp-medium,0.11392405063291143,0.1075949367088608,0.1075949367088608,0.1075949367088608
0.8,log-uni-moderate,1,uni-medium,0.0,0.0,0.0,0.0
0.4,uni-long,1,uni-light,1.0,1.0,1.0,1.0
0.2,uni-moderate,1,uni-heavy,0.9083969465648855,0.9083969465648855,0.9083969465648855,0.9083969465648855
0.7000000000000001,uni-long,1,exp-medium,0.98,1.0,1.0,1.0
0.6,uni-moderate,1,bimo-light,0.6058981233243965,0.5951742627345844,0.6005361930294904,0.6005361930294904
0.30000000000000004,log-uni-long,1,exp-heavy,1.0,1.0,1.0,1.0
0.5,log-uni-short,1,bimo-light,0.009999999999999998,0.0,0.0,0.0
0.1,log-uni-short,1,uni-light,0.09160305343511449,0.07633587786259542,0.07633587786259542,0.07633587786259542
0.9,uni-short,1,uni-heavy,0.0,0.0,0.0,0.0
0.1,uni-moderate,1,uni-light,0.8870056497175142,0.8700564971751412,0.8700564971751412,0.8700564971751412
0.7000000000000001,uni-moderate,1,uni-heavy,0.4728682170542636,0.5090439276485791,0.5142118863049094,0.5167958656330748
0.9,log-uni-long,1,exp-medium,0.0,0.0,0.0,0.0
1.0,log-uni-long,1,uni-medium,0.0,0.0,0.0,0.0
0.8,log-uni-long,1,exp-medium,0.43832020997375326,0.6115485564304466,0.616797900262467,0.616797900262467
0.1,log-uni-short,1,bimo-light,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273
0.9,uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.4,uni-moderate,1,bimo-light,0.8015267175572519,0.7862595419847327,0.7862595419847327,0.7862595419847327
0.4,uni-short,1,exp-light,0.019999999999999997,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.8,uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.7000000000000001,log-uni-moderate,1,bimo-medium,0.1652542372881356,0.17796610169491525,0.18644067796610167,0.18644067796610167
0.5,uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.4,uni-moderate,1,bimo-medium,0.8148148148148151,0.8065843621399176,0.8065843621399176,0.8065843621399176
0.30000000000000004,log-uni-short,1,exp-heavy,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.10666666666666667
0.30000000000000004,log-uni-long,1,exp-light,1.0,1.0,1.0,1.0
1.0,uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.8,log-uni-short,1,uni-medium,0.0,0.0,0.0,0.0
1.0,uni-short,1,uni-medium,0.0,0.0,0.0,0.0
